IsGrandTotalRowTotal,CountSYS_RECID,SumLOSDAYS,Hospital,PAYER (groups),Observation,Surgical,NICU,YEAR
False,1,11,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","NICU Level II",2016
False,1,22,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","Observation","Non-Surgical","NICU Level II",2016
False,1,6,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,6,"ARNOLD PALMER MEDICAL CENTER","Medicare","No Observation","Non-Surgical","NICU Level I",2016
False,1,116,"HEALTHPARK MEDICAL CENTER","Other State/Local","Observation","Non-Surgical","NICU Level III",2016
False,1,115,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level III",2016
False,1,136,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Surgical","NICU Level III",2016
False,1,328,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Surgical","NICU Level III",2016
False,1,75,"ADVENTHEALTH ORLANDO","Self/Non-Payment","Observation","Surgical","NICU Level III",2016
False,1,323,"JACKSON MEMORIAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level III",2016
False,1,28,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Surgical","NICU Level III",2016
False,1,44,"ARNOLD PALMER MEDICAL CENTER","Other Federal","No Observation","Surgical","NICU Level III",2016
False,1,30,"ARNOLD PALMER MEDICAL CENTER","Other Federal","Observation","Non-Surgical","NICU Level III",2016
False,1,126,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Surgical","ICU <1 Year Old",2016
False,1,192,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Surgical","ICU <1 Year Old",2016
False,1,6,"TAMPA GENERAL HOSPITAL","Commercial","No Observation","Surgical","ICU <1 Year Old",2016
False,1,8,"UF HEALTH SHANDS HOSPITAL","Medicare","No Observation","Surgical","Non-NICU",2016
False,1,0,"CAPE CORAL HOSPITAL","Medicaid","No Observation","Non-Surgical","Non-NICU",2021
False,1,7,"ASCENSION SACRED HEART PENSACOLA","Medicaid","Observation","Non-Surgical","Non-NICU",2021
False,1,93,"JACKSON MEMORIAL HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level III",2021
False,1,19,"MEMORIAL REGIONAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2021
False,1,17,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level I",2021
False,1,8,"HEALTHPARK MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2021
False,1,46,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Surgical","NICU Level III",2021
False,1,136,"HEALTHPARK MEDICAL CENTER","Other Federal","Observation","Non-Surgical","NICU Level III",2021
False,1,17,"HEALTHPARK MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2021
False,1,72,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Non-Surgical","NICU Level III",2021
False,1,44,"ST JOSEPHS HOSPITAL","Commercial","Observation","Surgical","NICU Level III",2021
False,1,6,"ASCENSION SACRED HEART PENSACOLA","Other Federal","No Observation","Surgical","NICU Level III",2021
False,1,34,"UF HEALTH SHANDS HOSPITAL","Other State/Local","Observation","Surgical","NICU Level III",2021
False,1,65,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Surgical","NICU Level III",2021
False,1,7,"ST MARY'S MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2021
False,1,20,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","No Observation","Surgical","NICU Level II",2021
False,1,36,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Medicaid","No Observation","Surgical","NICU Level II",2021
False,1,10,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Non-Surgical","NICU Level III",2021
False,1,7,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Surgical","NICU Level III",2021
False,1,106,"JACKSON MEMORIAL HOSPITAL","Other Federal","Observation","Surgical","NICU Level III",2021
False,1,393,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Surgical","NICU Level III",2021
False,1,46,"WOLFSON CHILDREN'S HOSPITAL","Other Federal","Observation","Surgical","NICU Level III",2021
False,1,33,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Medicaid","No Observation","Surgical","NICU Level I",2021
False,1,96,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","No Observation","Surgical","ICU <1 Year Old",2021
False,1,9,"ST JOSEPHS HOSPITAL","Other Federal","Observation","Surgical","ICU <1 Year Old",2021
False,1,51,"ADVENTHEALTH ORLANDO","Kidcare","Observation","Non-Surgical","ICU <1 Year Old",2021
False,1,12,"ADVENTHEALTH ORLANDO","Other","Observation","Non-Surgical","Non-NICU",2021
False,1,16,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Medicaid","Observation","Surgical","Non-NICU",2021
False,1,28,"BROWARD HEALTH MEDICAL CENTER","Self/Non-Payment","Observation","Surgical","Non-NICU",2021
False,1,16,"ADVENTHEALTH ORLANDO","Medicare","Observation","Surgical","Non-NICU",2021
False,1,68,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Surgical","ICU <1 Year Old",2021
False,1,20,"BROWARD HEALTH MEDICAL CENTER","Kidcare","Observation","Non-Surgical","Non-NICU",2021
False,1,24,"HEALTHPARK MEDICAL CENTER","Self/Non-Payment","Observation","Surgical","Non-NICU",2021
False,1,6,"ADVENTHEALTH ORLANDO","Self/Non-Payment","Observation","Non-Surgical","NICU Level II",2021
False,1,5,"ADVENTHEALTH ORLANDO","Medicaid","No Observation","Surgical","NICU Level II",2021
False,1,7,"ARNOLD PALMER MEDICAL CENTER","Other Federal","Observation","Surgical","Non-NICU",2021
False,1,6,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2021
False,1,14,"ARNOLD PALMER MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level II",2021
False,1,7,"UF HEALTH SHANDS HOSPITAL","Other","No Observation","Non-Surgical","NICU Level III",2017
False,1,6,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicare","No Observation","Non-Surgical","Non-NICU",2017
False,1,7,"CAPE CORAL HOSPITAL","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2017
False,1,7,"HEALTHPARK MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level II",2017
False,1,6,"BROWARD HEALTH MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level II",2017
False,1,40,"TAMPA GENERAL HOSPITAL","Other State/Local","Observation","Non-Surgical","NICU Level III",2017
False,1,9,"ADVENTHEALTH ORLANDO","Other Federal","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,11,"JACKSON MEMORIAL HOSPITAL","Other","Observation","Non-Surgical","Non-NICU",2017
False,1,16,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other","No Observation","Non-Surgical","Non-NICU",2017
False,1,17,"ARNOLD PALMER MEDICAL CENTER","Commercial","No Observation","Surgical","NICU Level II",2017
False,1,25,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","No Observation","Surgical","NICU Level III",2017
False,1,12,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Surgical","NICU Level I",2017
False,1,74,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Surgical","ICU <1 Year Old",2017
False,1,7,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2017
False,1,8,"UF HEALTH SHANDS HOSPITAL","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2017
False,1,6,"JACKSON MEMORIAL HOSPITAL","Other","Observation","Surgical","ICU <1 Year Old",2017
False,1,8,"HEALTHPARK MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2017
False,1,6,"ASCENSION SACRED HEART PENSACOLA","Workers' Comp","No Observation","Surgical","Non-NICU",2017
False,1,5,"ASCENSION SACRED HEART PENSACOLA","Other Federal","Observation","Surgical","Non-NICU",2017
False,1,6,"JACKSON MEMORIAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2018
False,1,0,"HEALTHPARK MEDICAL CENTER","Self/Non-Payment","Observation","Non-Surgical","Non-NICU",2018
False,1,8,"WOLFSON CHILDREN'S HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2018
False,1,23,"ADVENTHEALTH ORLANDO","Kidcare","Observation","Non-Surgical","NICU Level III",2018
False,1,76,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Non-Surgical","NICU Level I",2018
False,1,6,"JACKSON MEMORIAL HOSPITAL","Medicare","No Observation","Non-Surgical","NICU Level III",2018
False,1,18,"ADVENTHEALTH ORLANDO","Kidcare","Observation","Non-Surgical","NICU Level II",2018
False,1,5,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,5,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2018
False,1,5,"WOLFSON CHILDREN'S HOSPITAL","Other","No Observation","Non-Surgical","Non-NICU",2018
False,1,49,"JACKSON MEMORIAL HOSPITAL","Workers' Comp","Observation","Surgical","Non-NICU",2018
False,1,0,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","No Observation","Surgical","Non-NICU",2018
False,1,5,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2018
False,1,9,"JACKSON MEMORIAL HOSPITAL","Kidcare","Observation","Surgical","Non-NICU",2018
False,1,12,"BROWARD HEALTH MEDICAL CENTER","Other","Observation","Non-Surgical","Non-NICU",2018
False,1,7,"MEMORIAL REGIONAL HOSPITAL","Other Federal","Observation","Surgical","Non-NICU",2018
False,1,0,"ST MARY'S MEDICAL CENTER","Medicare","No Observation","Surgical","Non-NICU",2018
False,1,67,"JACKSON MEMORIAL HOSPITAL","Other","No Observation","Surgical","NICU Level III",2018
False,1,38,"UF HEALTH SHANDS HOSPITAL","Other State/Local","No Observation","Surgical","NICU Level III",2018
False,1,106,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2018
False,1,32,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Surgical","NICU Level III",2018
False,1,34,"UF HEALTH SHANDS HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","NICU Level III",2018
False,1,57,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","No Observation","Surgical","NICU Level I",2018
False,1,93,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,65,"UF HEALTH SHANDS HOSPITAL","Kidcare","Observation","Surgical","Non-NICU",2018
False,1,5,"ASCENSION SACRED HEART PENSACOLA","Self/Non-Payment","No Observation","Surgical","Non-NICU",2018
False,1,61,"ADVENTHEALTH ORLANDO","Other State/Local","Observation","Surgical","ICU <1 Year Old",2018
False,1,14,"UF HEALTH SHANDS HOSPITAL","Other State/Local","Observation","Surgical","ICU <1 Year Old",2018
False,1,5,"WOLFSON CHILDREN'S HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level I",2018
False,1,5,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,31,"TAMPA GENERAL HOSPITAL","Kidcare","Observation","Non-Surgical","NICU Level III",2018
False,1,5,"JACKSON MEMORIAL HOSPITAL","Kidcare","No Observation","Surgical","Non-NICU",2018
False,1,6,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,72,"BROWARD HEALTH MEDICAL CENTER","Medicaid","Observation","Surgical","NICU Level III",2018
False,1,35,"BROWARD HEALTH MEDICAL CENTER","Kidcare","Observation","Surgical","Non-NICU",2018
False,1,13,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Surgical","ICU <1 Year Old",2018
False,1,61,"HEALTHPARK MEDICAL CENTER","Commercial","No Observation","Surgical","ICU <1 Year Old",2017
False,1,92,"ADVENTHEALTH ORLANDO","Medicare","Observation","Surgical","ICU <1 Year Old",2018
False,1,0,"HEALTHPARK MEDICAL CENTER","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2017
False,1,5,"HEALTHPARK MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,6,"ST JOSEPHS HOSPITAL","Other State/Local","Observation","Non-Surgical","Non-NICU",2018
False,1,0,"ST JOSEPHS HOSPITAL","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2018
False,1,20,"JACKSON MEMORIAL HOSPITAL","Commercial","No Observation","Surgical","NICU Level I",2017
False,1,11,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Medicaid","No Observation","Surgical","NICU Level I",2017
False,1,30,"ST MARY'S MEDICAL CENTER","Medicaid","Observation","Non-Surgical","ICU <1 Year Old",2017
False,1,18,"ST JOSEPHS HOSPITAL","Other State/Local","No Observation","Surgical","Non-NICU",2017
False,1,253,"ADVENTHEALTH ORLANDO","Other Federal","Observation","Surgical","NICU Level III",2018
False,1,16,"TAMPA GENERAL HOSPITAL","Medicaid","No Observation","Surgical","NICU Level III",2018
False,1,91,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Surgical","NICU Level III",2017
False,1,138,"BROWARD HEALTH MEDICAL CENTER","Commercial","No Observation","Surgical","NICU Level III",2017
False,1,49,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Surgical","NICU Level III",2018
False,1,29,"BROWARD HEALTH MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level II",2017
False,1,47,"MEMORIAL REGIONAL HOSPITAL","Other","No Observation","Surgical","NICU Level III",2017
False,1,77,"ST MARY'S MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2017
False,1,6,"ADVENTHEALTH ORLANDO","Other Federal","Observation","Surgical","Non-NICU",2018
False,1,5,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level III",2018
False,1,7,"TAMPA GENERAL HOSPITAL","Commercial","Observation","Non-Surgical","NICU Level II",2018
False,1,9,"TAMPA GENERAL HOSPITAL","Other","No Observation","Non-Surgical","Non-NICU",2020
False,1,5,"ST MARY'S MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level II",2020
False,1,0,"UF HEALTH SHANDS HOSPITAL","Workers' Comp","No Observation","Non-Surgical","Non-NICU",2020
False,1,6,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Non-Surgical","Non-NICU",2021
False,1,5,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Non-Surgical","Non-NICU",2020
False,1,7,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Surgical","Non-NICU",2020
False,1,6,"TAMPA GENERAL HOSPITAL","Workers' Comp","No Observation","Surgical","Non-NICU",2021
False,1,10,"ARNOLD PALMER MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2021
False,1,0,"CAPE CORAL HOSPITAL","Commercial","Observation","Surgical","Non-NICU",2020
False,1,8,"ADVENTHEALTH ORLANDO","Commercial","No Observation","Surgical","NICU Level II",2020
False,1,0,"ST JOSEPHS HOSPITAL","Other State/Local","No Observation","Surgical","Non-NICU",2021
False,1,5,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Surgical","Non-NICU",2020
False,1,7,"BROWARD HEALTH MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","NICU Level III",2020
False,1,121,"HEALTHPARK MEDICAL CENTER","Medicaid","No Observation","Surgical","NICU Level III",2020
False,1,12,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level II",2020
False,1,57,"WOLFSON CHILDREN'S HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level II",2021
False,1,462,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Surgical","NICU Level III",2020
False,1,20,"TAMPA GENERAL HOSPITAL","Medicaid","No Observation","Surgical","NICU Level II",2021
False,1,15,"MEMORIAL REGIONAL HOSPITAL","Medicaid","No Observation","Surgical","NICU Level II",2020
False,1,14,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level III",2020
False,1,20,"WOLFSON CHILDREN'S HOSPITAL","Self/Non-Payment","Observation","Surgical","NICU Level III",2021
False,1,58,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Non-Surgical","NICU Level I",2020
False,1,51,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Surgical","ICU <1 Year Old",2020
False,1,43,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Surgical","Non-NICU",2020
False,1,81,"UF HEALTH SHANDS HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level I",2021
False,1,10,"UF HEALTH SHANDS HOSPITAL","Commercial","No Observation","Surgical","NICU Level I",2020
False,1,28,"ARNOLD PALMER MEDICAL CENTER","Kidcare","Observation","Non-Surgical","Non-NICU",2020
False,1,46,"ADVENTHEALTH ORLANDO","Commercial","Observation","Non-Surgical","NICU Level I",2021
False,1,8,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Surgical","ICU <1 Year Old",2020
False,1,6,"MEMORIAL REGIONAL HOSPITAL","Other","No Observation","Surgical","ICU <1 Year Old",2020
False,1,11,"ADVENTHEALTH ORLANDO","Medicare","Observation","Surgical","Non-NICU",2020
False,1,9,"UF HEALTH SHANDS HOSPITAL","Other","No Observation","Surgical","Non-NICU",2021
False,1,52,"ASCENSION SACRED HEART PENSACOLA","Self/Non-Payment","Observation","Non-Surgical","NICU Level III",2020
False,1,15,"ADVENTHEALTH ORLANDO","Kidcare","Observation","Non-Surgical","ICU <1 Year Old",2020
False,1,5,"ST JOSEPHS HOSPITAL","Medicaid","No Observation","Non-Surgical","NICU Level II",2020
False,1,18,"TAMPA GENERAL HOSPITAL","Other State/Local","No Observation","Non-Surgical","NICU Level II",2021
False,1,6,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","Observation","Non-Surgical","Non-NICU",2021
False,1,5,"ADVENTHEALTH ORLANDO","Other Federal","No Observation","Non-Surgical","NICU Level II",2017
False,1,5,"UF HEALTH SHANDS HOSPITAL","Kidcare","No Observation","Non-Surgical","NICU Level III",2016
False,1,27,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","No Observation","Non-Surgical","NICU Level II",2016
False,1,5,"BROWARD HEALTH MEDICAL CENTER","Medicare","No Observation","Non-Surgical","Non-NICU",2016
False,1,11,"TAMPA GENERAL HOSPITAL","Other","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,78,"ADVENTHEALTH ORLANDO","Other State/Local","Observation","Non-Surgical","NICU Level III",2017
False,1,56,"BROWARD HEALTH MEDICAL CENTER","Medicaid","Observation","Non-Surgical","NICU Level III",2016
False,1,28,"JACKSON MEMORIAL HOSPITAL","Other","No Observation","Non-Surgical","NICU Level III",2017
False,1,81,"ADVENTHEALTH ORLANDO","Other State/Local","Observation","Non-Surgical","NICU Level II",2016
False,1,16,"JACKSON MEMORIAL HOSPITAL","Commercial","No Observation","Surgical","NICU Level III",2017
False,1,16,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Commercial","No Observation","Surgical","NICU Level III",2016
False,1,58,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Surgical","NICU Level III",2016
False,1,21,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Non-Surgical","NICU Level II",2016
False,1,16,"JACKSON MEMORIAL HOSPITAL","Medicaid","No Observation","Surgical","NICU Level II",2016
False,1,32,"UF HEALTH SHANDS HOSPITAL","Kidcare","Observation","Surgical","Non-NICU",2016
False,1,52,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Surgical","Non-NICU",2017
False,1,25,"ASCENSION SACRED HEART PENSACOLA","Other Federal","No Observation","Surgical","NICU Level I",2017
False,1,7,"ADVENTHEALTH ORLANDO","Other State/Local","Observation","Surgical","Non-NICU",2016
False,1,11,"JACKSON MEMORIAL HOSPITAL","Other Federal","Observation","Non-Surgical","Non-NICU",2017
False,1,11,"ADVENTHEALTH ORLANDO","Medicare","No Observation","Surgical","Non-NICU",2016
False,1,5,"JACKSON MEMORIAL HOSPITAL","Other","No Observation","Surgical","ICU <1 Year Old",2017
False,1,19,"ADVENTHEALTH ORLANDO","Self/Non-Payment","Observation","Surgical","ICU <1 Year Old",2017
False,1,6,"BROWARD HEALTH MEDICAL CENTER","Other","No Observation","Surgical","Non-NICU",2016
False,1,27,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Surgical","Non-NICU",2016
False,1,6,"ST JOSEPHS HOSPITAL","Medicare","No Observation","Surgical","Non-NICU",2016
False,1,5,"BROWARD HEALTH MEDICAL CENTER","Other Federal","No Observation","Surgical","Non-NICU",2016
False,1,21,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","Observation","Surgical","Non-NICU",2016
False,1,5,"MEMORIAL REGIONAL HOSPITAL","Other","Observation","Surgical","Non-NICU",2016
False,1,0,"CAPE CORAL HOSPITAL","Commercial","No Observation","Non-Surgical","Non-NICU",2019
False,1,15,"BROWARD HEALTH MEDICAL CENTER","Other Federal","Observation","Surgical","Non-NICU",2019
False,1,12,"UF HEALTH SHANDS HOSPITAL","Other Federal","Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,70,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Surgical","NICU Level I",2019
False,1,35,"ARNOLD PALMER MEDICAL CENTER","Other Federal","Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,37,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Surgical","ICU <1 Year Old",2019
False,1,5,"NEMOURS CHILDREN'S HOSPITAL, FLORIDA","Other Federal","No Observation","Surgical","ICU <1 Year Old",2019
False,1,70,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level III",2019
False,1,5,"BROWARD HEALTH MEDICAL CENTER","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,7,"ADVENTHEALTH ORLANDO","Kidcare","No Observation","Non-Surgical","NICU Level III",2019
False,1,5,"MEMORIAL REGIONAL HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level II",2019
False,1,8,"ADVENTHEALTH ORLANDO","Other Federal","No Observation","Non-Surgical","NICU Level II",2019
False,1,23,"HEALTHPARK MEDICAL CENTER","Other State/Local","No Observation","Non-Surgical","NICU Level II",2019
False,1,6,"ASCENSION SACRED HEART PENSACOLA","Self/Non-Payment","No Observation","Non-Surgical","ICU <1 Year Old",2019
False,1,217,"ST MARY'S MEDICAL CENTER","Other Federal","Observation","Non-Surgical","NICU Level III",2019
False,1,39,"ST JOSEPHS HOSPITAL","Medicaid","Observation","Surgical","NICU Level II",2019
False,1,43,"UF HEALTH SHANDS HOSPITAL","Medicaid","No Observation","Surgical","NICU Level II",2019
False,1,14,"ADVENTHEALTH ORLANDO","Medicaid","Observation","Surgical","NICU Level II",2019
False,1,24,"ARNOLD PALMER MEDICAL CENTER","Self/Non-Payment","No Observation","Surgical","NICU Level III",2019
False,1,11,"BAPTIST MEDICAL CENTER JACKSONVILLE","Other Federal","Observation","Surgical","Non-NICU",2019
False,1,10,"ADVENTHEALTH ORLANDO","Medicare","Observation","Surgical","ICU <1 Year Old",2019
False,1,13,"UF HEALTH SHANDS HOSPITAL","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2019
False,1,27,"JACKSON MEMORIAL HOSPITAL","Self/Non-Payment","No Observation","Surgical","ICU <1 Year Old",2019
False,1,20,"HEALTHPARK MEDICAL CENTER","Medicaid","Observation","Non-Surgical","NICU Level II",2019
False,1,100,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level III",2019
False,1,5,"MEMORIAL REGIONAL HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,0,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,12,"TAMPA GENERAL HOSPITAL","Kidcare","No Observation","Surgical","Non-NICU",2016
False,1,112,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Surgical","NICU Level I",2016
False,1,17,"ASCENSION SACRED HEART PENSACOLA","Other Federal","Observation","Surgical","NICU Level I",2016
False,1,15,"TAMPA GENERAL HOSPITAL","Medicaid","No Observation","Surgical","ICU <1 Year Old",2016
False,1,7,"ASCENSION SACRED HEART PENSACOLA","Commercial","No Observation","Surgical","NICU Level I",2016
False,1,15,"ASCENSION SACRED HEART PENSACOLA","Self/Non-Payment","No Observation","Non-Surgical","NICU Level I",2016
False,1,7,"ADVENTHEALTH ORLANDO","Other Federal","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,21,"ASCENSION SACRED HEART PENSACOLA","Commercial","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,10,"ARNOLD PALMER MEDICAL CENTER","Other Federal","No Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,59,"HEALTHPARK MEDICAL CENTER","Other State/Local","Observation","Surgical","Non-NICU",2016
False,1,92,"JACKSON MEMORIAL HOSPITAL","Medicare","Observation","Surgical","ICU <1 Year Old",2016
False,1,78,"ASCENSION SACRED HEART PENSACOLA","Other State/Local","Observation","Non-Surgical","NICU Level I",2016
False,1,14,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicare","No Observation","Surgical","Non-NICU",2016
False,1,17,"UF HEALTH SHANDS HOSPITAL","Self/Non-Payment","Observation","Surgical","ICU <1 Year Old",2016
False,1,25,"UF HEALTH SHANDS HOSPITAL","Self/Non-Payment","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,6,"UF HEALTH SHANDS HOSPITAL","Other State/Local","Observation","Non-Surgical","ICU <1 Year Old",2016
False,1,10,"ST MARY'S MEDICAL CENTER","Self/Non-Payment","Observation","Non-Surgical","NICU Level II",2016
False,1,11,"JACKSON MEMORIAL HOSPITAL","Other","No Observation","Non-Surgical","NICU Level II",2016
False,1,14,"JACKSON MEMORIAL HOSPITAL","Commercial","No Observation","Surgical","NICU Level III",2016
False,1,86,"UF HEALTH SHANDS HOSPITAL","Other","Observation","Non-Surgical","NICU Level III",2016
False,1,18,"BAPTIST MEDICAL CENTER JACKSONVILLE","Commercial","No Observation","Surgical","NICU Level III",2016
False,1,65,"MEMORIAL REGIONAL HOSPITAL","Medicaid","Observation","Non-Surgical","NICU Level III",2016
False,1,7,"ADVENTHEALTH ORLANDO","Kidcare","Observation","Non-Surgical","NICU Level III",2016
False,1,9,"BAPTIST MEDICAL CENTER JACKSONVILLE","Self/Non-Payment","Observation","Surgical","NICU Level III",2016
False,1,12,"TAMPA GENERAL HOSPITAL","Other State/Local","Observation","Non-Surgical","NICU Level III",2016
False,1,6,"ADVENTHEALTH ORLANDO","Other State/Local","No Observation","Non-Surgical","NICU Level III",2016
False,1,8,"JACKSON MEMORIAL HOSPITAL","Other Federal","No Observation","Non-Surgical","NICU Level III",2016
False,2,4,"BAPTIST MEDICAL CENTER JACKSONVILLE","Medicaid","No Observation","Non-Surgical","Non-NICU",2022
False,2,1,"CAPE CORAL HOSPITAL","Commercial","No Observation","Non-Surgical","Non-NICU",2022
False,2,5,"ARNOLD PALMER MEDICAL CENTER","Commercial","Observation","Non-Surgical","NICU Level I",2022
